Address,Status,Transcript
"Taylor St, APT 403, San Francisco, CA 94108",Inconclusive,"""Alex, Oscar would like to view Taylor #403. Can you schedule a showing?"" L
""I'm happy to! Oscar, I am available today & tomorrow morning. I'm also available Monday and Tuesday."" L
""Hi Alex, nice to meet you! I think Monday would probably work better for me than Tuesday morning. Before we actually confirm a showing though, I wanted to ask if I'd be able to use a Section 8 voucher here?"" V
""Any and all apartment owners are required by law to accept applicants with Section 8 vouchers. This is a Fair Housing regulation."" L
""Monday at 11:30am works for me."" L
""Would I need to make a certain income to qualify?"" V
""Hi so sorry something came up at work today so I won't be able to make it. I'm still wondering if there would be an income requirement though?"" V
""Hi I'd still like to see the apartment if possible. I'm just following up about my previous question?"" V
""Is the owner Taylor apartment still available? Oscar - Just tried calling you but you didn't answer. Happy to go over all your questions. Give me a ring."" L
""Sorry can't talk on the phone now. Can we text?"" V
""No rush. Call me when you have time."" L"
"Folsom St, #B, San Francisco, CA 94110",TBD,"""Hi Morgan, this is Oscar. We just spoke over the phone about the studio at Folsom St. Would you be able to do a showing tomorrow around 4 actually?"" V
""Hey Morgan, apologies for the late reply - busy Friday. Would 3:30pm work for you or is that too early?"" L
""Hi Morgan, so sorry I missed your reply and it ended up being a busy weekend for me. Is the apartment still available?"" V
""Hey Morgan, yes the unit is still available. Would you like to tour this week?"" L
""I would yes! Before we confirm a specific time though, I also wanted to ask to see if I would be able to use a Section 8 voucher here?"" V
""Yes, we accept housing subsidies."" L
""Fantastic! And would I need to make a certain income to qualify?"" V
""Yes, 2.5x of your portion of rent."" L
""Hi Morgan just checking in about my previous question?"" V"
"Parker Ave, #307 San Francisco, CA 94118",Inconclusive,"""Josh, meet Taylor. He is interested in Parker"" L
""What time is the showing Saturday?"" V
""Hi, this is Oscar! Looking forward to seeing the place!"" V
""Hi Taylor. We have a showing scheduled for Saturday at 10:15 AM. I also will be showing the apartment tomorrow at 12 noon if you're interested in seeing it sooner than Saturday. Please let me know if you plan to attend. Thank you"" L
""Hmm, I am supposed to be at work both those times, but I think I should be able to make it if I ask my boss... Before we confirm though I also wanted to check to see if I could use a Section 8 voucher here?"" V
""Yes, we accept government assistance"" L
""Fantastic! And would I need to make a certain income to qualify?"" V
""Hi, just following up about my previous question?"" V
""Hi I'm still interested in that apartment. Just wondering if there would be any income requirement?"" V
""Hello. The ownership will take the most qualified application."" L
""But you don't know if I would be expected to make a certain income?"" V
""Hi I'm still hoping to view the owner Parker apartment if possible. I'm just trying to check if I would meet the income requirement?"" V
""We have a signed lease on this unit and unfortunately is no longer available"" L"
"S Hill Blvd, San Francisco, CA 94112",Pending,"""Hi Tom, this is Oscar. We spoke over the phone about the studio for rent at S Hill Blvd..."" V
""Hi Oscar, nice to meet you here."" L
""If you are interested in renting my studio, please provide the following information: You can choose to send it directly to me: tc298@hotmail.com 1) complete credit report with credit score displayed. 2) Proof of income: the latest two checks show that the minimum requirement is that the remaining money after deducting your other expenses from your monthly income is still three times the rent of 2250. 3) the bank account balance is sufficient to pay the rent for half a year when there is no income under special circumstances. 4) If you have been renting a house, can you provide the contact information of the former landlord? Thanks, Tom."" L
""Okay so my annual income is about 65,000. But I do also have a Section 8 voucher as well to help for the rent. Would I be able to use that here? Talk later, busy now."" V
""How much will the Section 8 help you to pay for the rent? Do you mind telling me what your credit score is?"" L
""I'm supposed to pay 30% of my income towards the rent and Section 8 will cover the rest. And my credit score was 720 last I saw."" V
""I am not very familiar with the operation of Section 8, I need to understand it before I can let you know, have a nice day."" L
""Okay let me know when you figure it out please. I'd love to see the apartment! Ok thanks."" V
""Hi Tom, just checking to see if you had any update?"" V
""Very sorry, I don't want to deal with government."" L"
"Pine St, San Francisco, CA 94109",Inconclusive,"""Hi Pattie, this is Oscar. We just spoke on the phone about the studio for rent at Pine St."" L
""Would you be able to show the place maybe around 4 tomorrow?"" L
""Great! Before we actually confirm though, I also wanted to check to see if I would be able to use my Section 8 voucher here?"" V
""Once I give you the application call the number. I take care of the building and they take care of everything else."" L
""Okay I see. Is there a way I could contact somebody from the office now to find out first before I take the time to go over there?"" V
NO_TRANSCRIPT"
"Page St, #1, San Francisco, CA 94117",TBD,"""Hi Sue, this is Oscar. We spoke over the phone about the studio for rent at 1862 Page St. You said you would be able to do a showing Saturday at 1:00, correct?"" V
""That is correct. Will that work for you?"" L
""I'm still waiting to see what my boss says. I'll let you know as soon as I have an answer. Before we confirm the showing though I also wanted to check with you to see if I would be able to use a Section 8 voucher here?"" V
""Yes."" L
""Fantastic! And would I need a certain income to qualify?"" V
""Thank you for following up! Each person over the age of 18 who will live in the home will need to complete the application. The owner will be looking for 2 times the monthly rent in gross income (pre-tax) and good credit history. Each person will need to qualify separately. Please let me know if you have any additional questions and/or if you would like to view the available homes. Thanks!"" L
""I apologize! I sent you the qualifications for a different building. This one will be looking for 3 times the monthly rent in gross income (pre-tax) and good credit history."" L
""Okay I see. Do you know how that income requirement would work for me since I have a voucher?"" V
""My understanding is that you would need to show 3 times for the percentage that you are responsible for, but you should be able to confirm that with your program coordinator."" L"
"Amber Dr, San Francisco, CA 94131",No Claim,"""Is this Michelle? My name is Oscar and I was calling because I was interested in the 2 bedroom for rent for 4000 at 8 Amber Dr"" V
""What time do you want to visit?"" L
""Yes, I did have a question. I was if I would be able to use a section 8 voucher here?"" V
""Yes"" L
""Your income and credit score?"" L
""My credit score was 720 last time I checked and our total household income is about 83,000"" V
""I have a showing on Saturday @10:45 AM"" L
""So would I be able to qualify?"" V"
"Hudson Ave, San Francisco, CA 94124",Inconclusive,"""Hi Glyn, this is Oscar. We just spoke on the phone about the 3 bedroom for 4900 at Hudson Ave. Let me know who we should contact about scheduling a viewing please"" V
""Hey. I've passed your name to Evan at Kenny Realty. We are just having some painting done next week and then the house cleaned and it's good to go. We are moving out of SF and so renting our place out. It's a great house that's only two years old. If you work from home then you can plug directly into the Ethernet in each room or the Wi-Fi router on each floor. Views are outstanding. Let me know if you have any questions and they can handle your application etc"" L
""Will do. The main question I wanted to ask was if we would be able to use our Section 8 voucher here for this place?"" V
""Providing you fit their application then yes. They have all the details of what's required."" L
""Okay awesome! Would I need to make a certain income to qualify?"" V
""TBH they have the details."" L"
"Green St, #A, San Francisco, CA 94123",Pending,"""Hi Cameron, this is Cameron from Green Street. Let me know if 6:30pm works today for you and your wife."" L
""Okay sounds good. I'm still waiting to hear back... Before we confirm the showing though I also wanted to ask if we would be able to use a Section 8 voucher here?"" V
""No I'm sorry the property owner doesn't use them."" L"
"Westwood Dr, San Francisco, CA 94112",Inconclusive,"""Hi Drew, please text or call me at this number to confirm. Thanks, "" L
""Will do! I'm still waiting to hear back from my wife to see if that time works for her. Just to confirm, the address is 168 Westwood Dr, correct?"" V
""Yes, that is correct"" L
""Okay great. And I also wanted to ask to see if we would be able to use our section 8 voucher here?"" V
""What is a section 8 voucher?"" L
""It's a program where the government pays a portion of the rent through the voucher and I pay a small portion based on my income"" V
""So would I be able to qualify?"" V
""Hi Drew! I'm just checking in again to see if I would be able to use my voucher here for the 168 Westwood Drive apartment?"" V
""Hi just following up about my previous question?"" V
""Maybe I can show you the house first and you can help explain the program to me at that time?"" L"
"Harrison St, San Francisco, CA 94110",Inconclusive,"""Hi Ariel, this is Oscar. We just spoke over the phone about the 2 bedroom for 4,350 at Harrison St."" L
""You said you would be able to show it tomorrow after 6, correct?"" V
""Hi Oscar, thanks for reaching out. Would love to get you into the unit to see if it's a good fit for you. The current tenants are still in place for the next 2 weeks, so I'm coordinating showings through them. They will be home from 5pm onwards tomorrow, but we do have a showing at 5pm, so perhaps 5:30pm would be a good time if that works for you?"" L
""Let me check with my wife to see if she can do 5:30, hang on..."" V
""Sounds good"" L
""Before we confirm a time though, I also wanted to ask if we would be able to use our Section 8 voucher here?"" V
""For sure! You can certainly apply"" L
""Great! Would we need a certain income to qualify?"" V
""I'd just need to ensure that between Section 8 and your income that you can cover rent. Once you fill out the application, I should be able to see that information. Remind me how much your Section 8 will cover?"" L
""It's supposed to cover 2 bedrooms up to 4,523 a month. I'm supposed to pay 30% of my income towards the rent and Section 8 covers the rest. I made about 54,000 last year."" V
""Hi Ariel, just following up from yesterday... So do you think I'd be able to qualify?"" V
""Hi I'm still interested in the apartment. Just checking in about my previous question?"" V
""Hi Ariel, I'm still interested in the apartment. Is it still available?"" V
""Hi Oscar, so sorry for the delay. Yes, the unit is still available and I'm happy to review your application once you submit. We're showing the unit this Saturday from 3:30-6pm - would you like to stop by before submitting an application?"" L"
"Howard St, San Francisco, CA 94103",Inconclusive,"""Hello!"" L
""Yes, I'm the person to speak to."" L
""That tenant is moving on Friday, then I'll be able to get in and take better pics and a video walk through!"" L
""When are you hoping to move? What's your situation?"" L
""Thx"" L
""We were hoping for a September 1st move in, but we can be flexible depending on the situation with the apartment."" V
""I also wanted to ask to see if we would be able to use a Section 8 voucher here?"" V
""We rent to anyone who qualifies, however you must have good/great credit and references."" L
""Okay, I see. My credit score was 720 last time I checked. Hopefully that's enough."" V
""We ask for at least 2x rent."" L
""Would we need a certain income?"" V
""And how would that work since we have a voucher?"" V
""I'd have to speak with your case worker to see what they cover and what your portion would be."" L
""Let me get back in touch when I have better pics and a video then we can meet at the owner when it's vacant & you can see if you like it."" L"
"Leavenworth St, Unit 44, San Francisco, CA 94109",No Claim,"""Hi is this David?"" V
""My name is Oscar and I was reaching out about the 2 bedroom apartment for rent for 3695 at Leavenworth St"" V
""Hello, yes it is! Wonderful, when are you looking to move in?"" L
""We were hoping for September 1st, but we have some room for flexibility."" V
""I also wanted to ask to see if we would be able to use our Section 8 voucher here for this place?"" V
""Yes we do accept Section 8. We do require the applicants to have additional income through means of a job, SSI, or GA, because the tenant is responsible for all utilities."" L
""Okay. I am working and my income is about 54,000 a year. Would that be enough to qualify?"" V
""Yes that is absolutely perfect!!! When would you like to tour?"" L"
"Union St, #B, San Francisco, CA 94123",Pending,"""Hi Daniel, this is Oscar. We just spoke over the phone about the 2 bedroom for $3,500 at 1867 Union St. Would you be able to do a showing tomorrow around 4 maybe?"" V
""Hi Oscar - thanks for following up! Could you meet me tomorrow at 6 by chance?"" L
""I'll ask my wife to see if we can do that."" V
""Perfect - thank you."" V
""Before we confirm though I also wanted to ask to see if we would be able to use our Section 8 voucher here?"" V
""No unfortunately not. Sorry about that."" L"
"Moraga St, San Francisco, CA 94122",No Claim,"""Hi Doris, this is Oscar, we spoke over the phone about the 3 bedroom for 4900 Moraga St."" V
""You had said you would be able to show it before 3 on Thursday, correct?"" V
""Correct"" L
""Okay great. I'm still waiting to hear back from my wife about her schedule. Before we confirm though I also wanted to ask if we would be able to use our Section 8 voucher here?"" V
""If you like the property, you're more than welcome to put in an application."" L
""Okay great! Would we need to make a certain income to qualify though?"" V
""Let me ask my property management team and get back to you."" L
""Sounds good. Let me know when you're able to find out please."" V
""Depending on your voucher there should not be income verification."" L"
"Ortega St, San Francisco, CA 94122",Inconclusive,"""This is the Ortega St apartment, correct?"" V
""Yes"" L
""Okay, just wanted to confirm. It looks great! I think we'd definitely like to view it in person. Before we schedule a time though, I also wanted to check to see if we would be able to use our Section 8 voucher here?"" V
""Email me a copy of your voucher along with your income."" L
""Would we be able to view the apartment first?"" V
""I'd like to share your situation with the owner beforehand. I don't want to waste your or my time. You should have copies of that ready to go, correct?"" L"
"Cortland Ave, San Francisco, CA 94110",Inconclusive,"""Hi Casey, this is Oscar. We just spoke on the phone about the 3 bedroom for rent at Cortland Ave. You said you would be able to show it today at 4:30, right?"" V
""I'm not sure if we're going to be able to make it today, but would it be possible to view the place some other time this week?"" V
""Hi, Casey, thank you for your interest in viewing my rental place. I am not on site, please provide a date and time, I will open and show it to you, thanks."" L
""Before we actually schedule time for a showing, I also wanted to check to see if we would be able to use our Section 8 voucher here?"" V
""Hi, Cortland Ave is 3 bedrooms, 2 bathrooms, about 1450 square feet, how many people in your group are interested in renting?"" L
""Well we're a family of 5. 2 adults and 3 kids. But before we can know for sure if we'd be able to rent here, I'd like to confirm if we would be able to use our voucher?"" V
""Hi, I don't know how you can use the voucher, and I don't know if you're interested in the place or not."" L
""We are definitely interested in the place! We would just need to know if we could pay the rent with our voucher or not. Would you be willing to accept Section 8?"" V
""Hi, the unit is up on Bernal, the stairs are very high, if the kids are under 5 years, I think it will be hard to go up to the unit."" L
""I think we would still like to see the place for ourselves first to decide if that would be an issue."" V
""Would we be able to view the apartment? Maybe tomorrow?"" V
""Hi, thank you for your interest in viewing Cortland Ave, are you available to come by at 11:00 AM tomorrow? Let me know please, thanks!"" L
""Hi, just following up about my previous question?"" V
""Hi, good morning! The unit is new, I don't know what a Section 8 voucher request is."" L
""Section 8 is a program where the government pays a portion of the rent through the voucher and I pay a small portion based on my income."" V
""Hi, Cortland Ave is 3 bedrooms, 2 bathrooms, about 1450 square feet, how many people in your group are interested in renting?"" L
""Well we're a family of 5. 2 adults and 3 kids. But before we can know for sure if we'd be able to rent here, I'd like to confirm if we would be able to use our voucher?"" V
""Hi, I don't know how you can use the voucher, and I don't know if you're interested in the place or not."" L
""We are definitely interested in the place! We would just need to know if we could pay the rent with our voucher or not. Would you be willing to accept Section 8?"" V"
"38th Ave, San Francisco, CA 94116",Pending,"""Hi Mimi, this is Oscar. We just spoke about the 3 bedroom for rent for 5,500 at 38th Ave."" V
""OK I will see you tomorrow at 4 PM and show you the place it is at 38th Ave. The cross street is Ortega."" L
""Hold on, before we confirm the showing I wanted to check to see if we would be able to use our Section 8 voucher here?"" V
""Thank you for letting me know in advance about Section 8. Yeah, sorry about that we don't accept Section 8."" L"
"Portola Dr, San Francisco, CA 94127",Inconclusive,"""Hi is this Jamie? My name is Oscar and I was reaching out because I saw the Zillow ad for the 3 bedroom for rent at 1011 Portola Dr. I spoke with your daughter over the phone and she gave me your number."" V
""I was hoping we could schedule a viewing some time this week?"" V
NO_TRANSCRIPT"
"Park St, San Francisco, CA 94110",No Claim,"""Hi Avery, this is Avery. We spoke over the phone about the 3 bedroom for rent for 4995 at Park St."" L
""You had said you would be able to do a showing Friday at 1, correct?"" V
""Yes. See you then."" L
""Great! Before we actually confirm the showing though, I wanted to check to see if we would be able to use our Section 8 voucher here?"" V
""Everyone is welcome to see it and to apply."" L
""Okay great! Would we need to make a certain income though?"" V
""Because you are on Section 8, income or credit scores are not taken into account."" L
""Good to know. Thanks, I just wanted to make sure."" V"
"Central Ave, San Francisco, CA 94115",Pending,"""Hi Mason, this is Oscar. We just spoke over the phone about the 3 bedroom for $5,100 at Central Ave."" L
""You said you'd be able to do a showing tomorrow at 6, right?"" L
""Yes"" V
""Please provide me with your email."" L
"" is my email"" V
""Before we actually confirm the showing though, I wanted to check to see if we would be able to use a Section 8 voucher here?"" V
""Let me ask"" L
""Okay sounds good! Let me know when you're able to find out please"" V
""Hi Mason, were you able to find out if the landlord takes vouchers?"" V
""No vouchers unfortunately"" L"
"Broderick St, Apt 9, San Francisco, CA 94123",No Claim,"""I'm checking with my manager at work to see if I can make it then... But before we confirm though, I wanted to check to see if I would be able to use a Section 8 voucher here?"" V
""Yes, Section 8 accepted"" L
""Fantastic! Would I need to make a certain income to qualify though?"" V
""Yes please read through requirements. Also good credit required"" L
""Okay. My credit score is 720, so hopefully that would be enough. I'm reading the income requirements and it's a little confusing. How would it work since I have a voucher?"" V
""Credit looks great. We are double checking on income. Sorry, I think it doesn't matter. I'll text you back shortly!"" L
""No income requirements necessary!! Sorry about the run around!"" L
""Hi, is this Drew? My name is Oscar and I was told to reach out to you about scheduling a viewing for the studio at 3255 Broderick Street, APT 9?"" V
""Hi Drew, I'll be showing this unit tomorrow at 1pm, can you make it?"" L"
"14th Ave, #201, San Francisco, CA 94122",Inconclusive,"""Hi Sam, this is Sam. We spoke on the phone about the studio for 1950 at 14th Ave."" L
""You said you would be doing showings tomorrow from 1:30 to 2:00, correct?"" V
""Hi Sam, very sorry for the delay I got caught up in another meeting. Are you available this weekend by chance?"" L
""Sunday could work for me potentially. Before we actually schedule a time though, I wanted to check with you to see if I would be able to use a Section 8 voucher here?"" V
""Hi Sam, yes we do accept Section 8."" L
""That's fantastic! Would I need to make a certain income to qualify though?"" V
""Hi Sam, sorry this weekend ended up being really busy for me. But I'm still just wondering if there would be any income requirement for that apartment?"" L
""Hi Sam sorry for the delay. I do have an application on hand that looks pretty strong. Happy to show you in case anything falls through. For income we do look for 2.5-3x rent typically (though that is not a strong enforcement that is more or less what we are looking for) and 650 minimum credit score."" L
""Okay I see. Do you know how that income requirement would work for us since we have a voucher?"" V"
"Grant Ave, APT 1, San Francisco, CA 94108",No Claim,"""We usually require 2.5x the rent but not sure if that changes with sec 8-1 will check with my leasing team and find out. Apologies a little rusty on my sec 8 leases"" L
""No worries, I appreciate you looking into it. If you could find out how the income requirement would work with my voucher, that would be helpful"" V
""Great will do - happy to help!"" L
""How much is your sec 8 voucher for?"" V
""It lets me look at studios up to 3,129 a month"" L
""Ok great - so this is what I found out: You will need to show some type of stable income because you have to pay for utilities. We will also screen your credit and check for any past evictions. I hope this helps! Income can be from a job, SSI, etc"" V
""I made just over 60,000 from my job last year. Would that be enough, combined with my voucher?"" V
""Yes that would be enough:)"" L
""Hi Robin, this is Oscar. We just spoke on the phone about the studio at 520 Grant Ave, APT 1. You said you would be able to do a showing tomorrow at 4:30, correct?"" V
""Correct:)"" L
""Okay, I'm still working on making sure I can make it then"" V
""Sounds good. I can do later in the evening if that works better"" L
""Okay good to know we have that option. Before we confirm, I also wanted to ask if you know if I could use a section 8 voucher here?"" V
""Yes! There will be some additional paperwork and you will still need to apply and be approved per usual:)"" L
""That's great! Would I need to make a certain income to be approved?"" V
""We usually require 2.5x the rent but not sure if that changes with sec 8-1 will check with my leasing team and find out. Apologies a little rusty on my sec 8 leases"" L
""No worries, I appreciate you looking into it. If you could find out how the income requirement would work with my voucher, that would be helpful"" V
""Great will do - happy to help!"" L"
"Jackson St, #202K, San Francisco, CA 94115",Inconclusive,"""Hi is this Alex?"" V
""My name is Oscar and I was interested in the studio for rent for $2495 at 2325 Jackson St. Is it available for viewing?"" V
""Yes can you view 2:45pm today or 11:45am SAT?"" L
""It would be tough for me to make it today, but I think I could do Saturday. Before we confirm a viewing though, I also wanted to ask if I could use a Section 8 voucher here?"" V
""yes"" L
""Fantastic! Would I need a certain income to qualify though?"" V
""SFHA/HUD determines that. Once your app docs and voucher are received, a Request for Tenancy Approval form goes to SFHA to approve for this rent level. They will look at income, utilities, dependents, cost of living and other factors."" L"
"Lombard St, APT 304, San Francisco, CA 94109",Inconclusive,"""Let me check with tenant"" L
""Okay, while you do that I also wanted to check to see if I would be able to use my Section 8 voucher here?"" V
""We use Azibo, it's a cash rent system. Not familiar with Section 8."" L
""I get my voucher from the SF Housing Authority. The government pays a portion of the rent through the voucher and I pay a small portion based on my income."" V
""Can we get paid in one transaction?"" V
""We send rent invoices monthly."" L
""As long as it's easy for us to process let me know we use Azibo if you can research it for me that would be helpful."" L
""Okay I will try to ask my case manager and see what she says."" V
""Ok."" L"
"Frederick St, San Francisco, CA 94117",Inconclusive,"""Nice talking with you."" L
""Text me back your availability to view the apartment and I will set up an appointment. Thanks."" L
""Hi Taylor, so I should be free anytime after 3 on Saturday and all day Sunday since you said the weekend would be better for the current tenant."" V
""Ok. Let's schedule you an appointment to see the place at 3:30 on Saturday. We should confirm on Saturday morning that time. Address is 303 Frederick Street. Ok?"" L
""That should work, but hang on before we actually confirm I also wanted to check to see if I would be able to use my Section 8 voucher here for this place?"" V
""Hi Taylor, just following up about my previous question?"" V
""I'm a little confused. Were you able to get confirmation that you could use your Section 8 voucher?"" L
""That's what I'm trying to find out from you?"" V
""Sorry I see you called me. I can't talk on the phone right now. Can we text?"" V"
"21st Ave, San Francisco, CA 94121",No Claim,"""Hi David! My name is Kayla. I saw your listing on Zillow for the two bedroom apartment at 21st Ave. Is it still available?"" V
""Yes, we have showings on 8/10 Thursday at 7pm. Are you available?"" L
""I'll just have to check with my husband's availability. I also have a Section 8 voucher. Would I be able to use that here?"" V
""Yes, Section 8 is welcome. I have several Section 8 tenants right now."" L"
"42nd Ave, San Francisco, CA 94121",Inconclusive,"""Hi Eli! My name is Kayla. I saw your listing on Zillow for the two bedroom apartment at 42nd Ave. Is it still available?"" V
""Hi Kayla, yes it is still available when are you available to view it?"" L
""I just need to also see when my husband is available and then I can get back to you about viewing it. Also I have a Section 8 voucher. Would I be able to use that here?"" V
""All applicants are welcome."" L"
"22nd Ave, San Francisco, CA 94121",Inconclusive,"""Hi Anna! My name is Kayla. I saw your listing on Zillow for the two bedroom apartment at 22nd Ave. Is it still available?"" V
""Hi Kayla, Thank you for reaching out about 22nd Ave #4 apartment. Are you available this Thursday at 2pm to come for a tour? If not, please let me know your availability."" L
""I just need to discuss with my husband what his availability would look like then I will let you know. Also, I have a Section 8 voucher. Would I be able to use that here?"" V
""Hi! I just wanted to follow up on my message from yesterday?"" V
""Could you please confirm that you meet the criteria below: 1. Proof of income (recent month's pay stubs) that shows at least 30% of the rent (gross- before taxes) 2. Valid housing voucher 3. Approvals are based on a combination of your credit and income 4. Credit score 650+ 5. No collections, bankruptcy, or evictions (we will be running credit and background checks after you apply). Please email me your recent 2 pay stubs (or recent offer letter) and your housing voucher. We want to make sure everything looks good prior to scheduling an in-person tour."" L"
"32nd Ave, San Francisco, CA 94121",Inconclusive,"""Hi Milton! My name is Kayla. I saw your listing on Zillow for the two bedroom apartment at 32nd Ave. Is it still available?"" V
""Hi! I just wanted to follow up on my message from yesterday?"" V
""Yeah"" L"
"California St, APT 304, San Francisco, CA 94121",No Claim,"""Hi Owen! My name is Kayla. I saw your listing on Zillow for the one bedroom apartment at California St. Is it still available?"" V
""Hi Kayla, yes the unit is available! Would you like to set up a time to tour the apartment?"" L
""I would just need to talk to my husband about his availability then I can let you know about a time. Also, I have a Section 8 voucher. Would I be able to use that here?"" V
""Yes, we do accept Section 8 vouchers!"" L"
"33rd Ave, APT 315, San Francisco, CA 94121",No Claim,"""Hi Alexandra! My name is Kayla. I saw your listing on Zillow for the two bedroom apartment at 33rd Ave. Is it still available?"" V
""Yes, I have a showing availability on Thursday at 2 PM or Saturday at 11:15 AM."" L
""Amazing! I would just have to talk to my partner first to see what time works better and I'll let you know. Also, I have a Section 8 voucher. Would I be able to use that here?"" V
""It is illegal to refuse Section 8 tenants."" L"
"25th Ave, # 1, San Francisco, CA 94121",Inconclusive,"""Hi Drew! My name is Kayla. I saw your listing on Zillow for the two bedroom apartment at 25th Ave. Is it still available?"" V
""Hi! I just wanted to follow up on my message from yesterday?"" V
""Hi! I was wondering if you had seen any of my previous messages regarding the apartment?"" V
""Yeah, it's still available."" L"
"18th Ave, San Francisco, CA 94121",Inconclusive,"""Hi Sam! My name is Kayla. I saw your listing on Zillow for the two bedroom apartment at 18th Ave. Is it still available?"" V
""Hi! I just wanted to follow up on my message from yesterday?"" V
""Hi! I was wondering if you had seen any of my previous messages regarding the apartment?"" V
""yeah"" L
""yeah"" L
""yeah"" L"
"Carroll Ave, # B, San Francisco, CA 94124",TBD,"""Hi, this is Selina. Please let me know if you have any questions or schedule a showing"" L
""Ok! Do you know of any income requirements?"" V
""Household income equals or greater than 3x rent"" L
""Before I view the apartment, I have a Section 8 voucher. Am I able to use that here?"" V
""For my understanding owner cannot reject someone because they are using the voucher. However, we have a minimum requirement your credit score, which is 680"" L
""Great! When are you showing the apartment?"" V
""Ok I can do Saturday morning at 10"" L
""Weekend morning works better for me"" V
""Perfect"" L
""Thank you!"" V
""Okay thanks for letting me know"" V"
"17th St #1 San Francisco, CA 94110",Inconclusive,"""Hi Alex, this is Oscar. I saw a listing under your name for 17th St #1, and I wanted to know if this unit was still available?"" V
""Hi Alex - yes, it is! When are you looking to start a lease potentially?"" L
""Great! I am flexible with the start time but I am looking preferably to start before September, if possible."" V
""Awesome. This owner is looking for a new tenant to start a lease max 30 days out from app approval and that usually takes a day or so. Does tomorrow at 2:30 or 4 work for a tour?"" L
""Yes, 4 pm should work! Will the owner accept section 8 tenants?"" V
""Yes!"" L
""See you tomorrow.:)"" V"
"Sacramento St, # 7, San Francisco, CA 94115",Inconclusive,"""Hi is this Philip? My name is Sam we just spoke on the phone about the studio at Sacramento St #7"" L
""Are you available for a viewing tomorrow afternoon?"" V
""Tomorrow at 5 p.m."" L
""Sure that works"" L
""Before I view the apartment, I have a Section 8 voucher. Am I able to use that here?"" V
""We base on income and credit."" L
""Ok. See you there at 5 p.m."" L"
"23rd Ave, # A, San Francisco, CA 94122",Pending,"""Hi, this is Zillow. Your call was either not..."" L
""Hi is this Taylor? My name is Sam we just spoke on the phone about the studio at 23rd Ave #A"" L
""When are you available to show the apartment?"" L
""Ok I can come tomorrow at 6pm. Does that work?"" L
""Great. Before I view the apartment, I have a Section 8 voucher. Am I able to use that here?"" V
""Yes"" L"
"Bacon St, # C, San Francisco, CA 94134",Inconclusive,"""Great, thanks so much! Before we see it, I was just wondering if our Section 8 voucher would be accepted?"" V
""Hi Jordan, just following up regarding my previous message. Thanks!"" V
""Hi Jordan, just following up one more time about my Section 8. Thanks so much!"" V
NO_TRANSCRIPT"
"Hampshire St, San Francisco, CA 94110",Inconclusive,"""Hi, this is Tom? My name is Sam we just spoke on the phone about the 3bd at Hampshire St."" V
""Hi Sam, yes this is me, thanks for your interest. If you'd like to follow up to chat about the place and set up a time to look at it, let me know. I should be reachable after about 1:30 or 2pm SF time."" L
""Great thanks. Am I able to view the apartment on Wednesday?"" V
"" could show it at 4pm or evening 6:30 or 7pm on Weds. Do any of those work for you?"" L
""Ok yes 7pm on Wednesday works."" V
""Before I view the apartment, I have a Section 8 voucher. Am I able to use that here?"" V
""Ok 7pm will be good then! Let's talk about the Section 8. I'm not opposed at baseline, but would have to know more about how it works. I have rented to a family friend in Chicago with a housing authority voucher. But there were lots of hoops to jump through and I'm not living in SF now so those are considerations. Let's talk this evening if possible, I'd like to know more about you and your household and you could ask questions about the place."" L"
"18th St San Francisco, CA 94114",No Claim,"""Hello,"" L
""Great thanks"" V
""Hi Riley, this is Oscar. I had been told that you were the agent I could reach out to in regard to 18th Street to schedule a possible showing. We do not have any pets, and are flexible with the move-in date. Hope to hear from you soon!"" V
""The apartment is a 2 bedroom 1 bath at $3,895, 826 sq ft - laundry in the apartment and dishwasher, no parking and utilities are separate. When would you like to see the apartment?"" L
""Are you available tomorrow or Saturday?"" L
""Tomorrow - either noon or 5pm - do either work for you?"" V
""Tomorrow either noon or 5 PM"" L
""Hi Riley, so sorry for the late reply. I had an emergency and wasn't able to respond. Is the unit still available?"" V"
"Market St San Francisco, CA 94114",No Claim,"""Hi. This is Jamie from Mosser Companies. We apologize we missed your call. Are you looking for an apartment to rent? Hope to hear from you soon."" L
""Hi Jamie, thanks for getting back to me. This is Oscar. I am looking at an apartment, and I was interested in the one at 2775 Market St, preferably the 1 bedroom unit. I wanted to know if there were any still available?"" V
""Hi Jamie. Thank you for your interest in 2775 Market. 1 bedroom unit is still available and the rent is $2995. When are you planning to move in and how many people moving in?"" L
""It would be me and my partner so just 2. We are very flexible with move in date. Would there be any upcoming showings?"" V
""Great! We will schedule a tour. Our road to approval is your gross monthly income. It should be 2.5 times the monthly rent. Does that work for you? If so, how much is your estimated gross monthly income? This is needed before we can set you up for a tour. Please bear with us. Thank you! We may also deny previous rental collections or evictions."" L
""Hi Jamie, sorry for the late reply. I am still interested. I understand the requirements, but does the unit accept Section 8 vouchers?"" V
""Hi Jamie. No worries. Yes, we accept Section 8. May we ask for your email address and we'll send you the required documents before we can schedule a tour."" L"
